smiles,score
c1(nc2c(s1)cc(cc2)C)N1CC(C(=O)c2n(ccn2)C)CCC1,-7.7
c1(c(cc(/C=C/c2nc3c(O)cccc3cc2)cc1OCC)I)O,-7.4
N1(C(=O)c2c(C1=O)cccc2)C(C(=O)N1c2c(C(=CC1(C)C)C)cc(cc2C)C)C,-9.0
N1(C(=S)N/C(=C\c2ccc(F)cc2)/C1=O)CC,-7.1
n1(cnnc1)c1ccc(C(=O)Nc2ccncc2)cc1,-7.5
c1(ncnn1CCC)C(NC(=O)c1cnc(nc1)CC)C,-7.3
N1(C(=S)S/C(=C/2\C(=O)N(c3c2cccc3)CC(=O)O)/C1=O)C(C(=O)O)C(C)C,-7.2
n1(c(nc2c1cccc2)C)CCC(=O)N1CCC(Cc2nc(on2)C)CC1,-8.5
S(=O)(=O)(N1CCC(NC(=O)c2c(NCC=C)cccc2)CC1)C,-6.9
n1(ncc(c1)C)CC(=O)N[C@H]1[C@H](Oc2ccc(C(=O)O)cc2)COCC1,-7.4
N1(C(=O)c2cc(O)ccc2)CC(CCc2c(C(F)(F)F)cccc2)CCC1,-8.4
C(=O)(N1C(CCn2nccc2)CCCC1)c1cnc(N2CCNCC2)cc1,-7.6
c1(C(=O)N2C[C@H]([C@H](c3cc4c(cc3)cccc4)CC2)O)noc(c1)C,-10.0
N1(C(C(=O)O)c2ccc(cc2)O)CCN(CC1)C/C=C/c1ccccc1,-7.9
n1(c(nnc1SCC(=O)N1CCOCC1)c1ccc(cc1)Cl)C,-8.1
C1(=O)c2c(CO1)ccc(NC(=O)NCC1(c3cc(F)ccc3)CCOCC1)c2,-9.6
n1(c(nnc1SCC(=O)Nc1cc(SC)ccc1)c1ccncc1)CC,-7.5
N1(/C(=N/CC)/SC(C1=O)CC(=O)Nc1c(C#N)cccc1)CC,-6.8
n1c(NC(=O)c2occc2)sc2c(c1=O)cccc2,-7.6
n12c(nnc2SCC(=O)Nc2cc(ccc2)C)c2c(nc1c1ccccc1)cccc2,-8.7
N1(C(=O)COc2c(F)cccc2)CCN(c2c(F)cccc2)CC1,-7.8
c1(nc[nH]n1)N1CCN(C(=O)C2Nc3c(C2)cc(cc3)Cl)CC1,-9.6
N1(C(=O)N(C2(C1=O)CCN(Cc1c(n(nc1)C)C)CC2)C)CC(C)C,-7.1
c1(C(=O)NCc2c(Cl)cccc2)c(ccc(c1)Cl)Cl,-6.9
C(=S)(Nc1ccc(C(=O)OCC)cc1)N(CC=C)CC=C,-6.1
c1(c(=O)c2c(oc1)cc(OCC(=O)Nc1c(cccc1CC)CC)cc2)Oc1c(Cl)cccc1,-8.5
c12c(noc2CCN(c2c(C(=O)O)cccn2)C1)c1ccc(cc1)c1ccccc1,-9.9
c1(C(=O)Nc2c(cc(cc2)C)C)nc(ncc1Cl)SC,-6.9
C1(C(=O)N(Cc2n[nH]c(c2)C)C)Cc2c(OC1)cccc2,-8.9
